id,query,query_clean,category,category_id
178,How do I lock in my mortgage rate?,How do I lock in my mortgage rate?,Loans,3
304,Is Zelle free to use?,Is Zelle free to use?,Payments & Transfers,4
134,Can I consolidate my student loans?,Can I consolidate my student loans?,Loans,3
296,How do I cancel a recurring payment?,How do I cancel a recurring payment?,Payments & Transfers,4
266,How do I change my credit card PIN?,How do I change my credit card PIN?,Card Services,1
209,How do I redeem my credit card rewards?,How do I redeem my credit card rewards?,Card Services,1
445,What is device registration for security?,What is device registration for security?,Fraud & Security,2
312,How do I stop a payment?,How do I stop a payment?,Payments & Transfers,4
331,What happens if a payment fails?,What happens if a payment fails?,Payments & Transfers,4
349,What are the foreign exchange fees?,What are the foreign exchange fees?,Payments & Transfers,4
96,What features are available in the mobile app?,What features are available in the mobile app?,Account Management,0
176,How do I get a loan for an investment property?,How do I get a loan for an investment property?,Loans,3
133,What are the student loan repayment options?,What are the student loan repayment options?,Loans,3
252,How do I avoid paying interest on my credit card?,How do I avoid paying interest on my credit card?,Card Services,1
153,What is the loan-to-value ratio?,What is the loan-to-value ratio?,Loans,3
214,I see an unauthorized charge on my card,I see an unauthorized charge on my card,Card Services,1
356,What is real-time payment?,What is real-time payment?,Payments & Transfers,4
222,What are the balance transfer fees?,What are the balance transfer fees?,Card Services,1
104,How do I check my loan application status?,How do I check my loan application status?,Loans,3
5,How do I update my contact information?,How do I update my contact information?,Account Management,0
210,What is my current rewards balance?,What is my current rewards balance?,Card Services,1
45,What happens if my account goes negative?,What happens if my account goes negative?,Account Management,0
354,What is a batch payment?,What is a batch payment?,Payments & Transfers,4
286,How do I transfer money between my accounts?,How do I transfer money between my accounts?,Payments & Transfers,4
48,Do you offer student bank accounts?,Do you offer student bank accounts?,Account Management,0
49,What benefits come with a premium account?,What benefits come with a premium account?,Account Management,0
118,Can I refinance my car loan?,Can I refinance my car loan?,Loans,3
385,What is two-factor authentication?,What is two-factor authentication?,Fraud & Security,2
399,How long does a fraud investigation take?,How long does a fraud investigation take?,Fraud & Security,2
220,What is a balance transfer?,What is a balance transfer?,Card Services,1
163,How does a secured loan differ from unsecured?,How does a secured loan differ from unsecured?,Loans,3
129,What are the tax benefits of a home loan?,What are the tax benefits of a home loan?,Loans,3
382,How do I report a phishing text message?,How do I report a phishing text message?,Fraud & Security,2
160,What are the risks of a second mortgage?,What are the risks of a second mortgage?,Loans,3
269,How do I report a damaged card?,How do I report a damaged card?,Card Services,1
12,How do I add a joint account holder?,How do I add a joint account holder?,Account Management,0
313,Can I reverse a bank transfer?,Can I reverse a bank transfer?,Payments & Transfers,4
225,What is the foreign transaction fee on my card?,What is the foreign transaction fee on my card?,Card Services,1
