id,query,category
299,How do I set up bill pay?,Payments & Transfers
40,Can I merge two accounts into one?,Account Management
336,How do I search for a specific transaction?,Payments & Transfers
399,How long does a fraud investigation take?,Fraud & Security
154,How do I request a loan payoff statement?,Loans
196,How do I report a lost credit card?,Card Services
169,What is the grace period for loan payments?,Loans
102,How long does loan approval take?,Loans
398,What happens after I report fraud?,Fraud & Security
31,How do I transfer my account to another branch?,Account Management
73,Are there fees for using out-of-network ATMs?,Account Management
272,What is a recurring charge and how do I manage it?,Card Services
141,How do I remove PMI from my mortgage?,Loans
350,How do I buy foreign currency?,Payments & Transfers
363,What is a payment gateway?,Payments & Transfers
56,Why was my account frozen?,Account Management
166,Can I change from variable to fixed rate?,Loans
321,How do I pay someone with my phone?,Payments & Transfers
288,What are the fees for wire transfers?,Payments & Transfers
83,Can I manage my account through the mobile app?,Account Management
78,What are the fees for a safe deposit box?,Account Management
133,What are the student loan repayment options?,Loans
249,What is extended warranty protection?,Card Services
118,Can I refinance my car loan?,Loans
204,When is my credit card payment due?,Card Services
405,How do I secure my online banking account?,Fraud & Security
80,I forgot my online banking username,Account Management
442,What is a security token?,Fraud & Security
10,How do I link my accounts together?,Account Management
390,What are transaction alerts?,Fraud & Security
379,"My debit card was stolen, what should I do?",Fraud & Security
245,How do I freeze my credit card temporarily?,Card Services
417,What is social engineering fraud?,Fraud & Security
114,How do I get pre-approved for a home loan?,Loans
446,How do I manage my registered devices?,Fraud & Security
77,Can I get a safe deposit box?,Account Management
278,Does checking my credit score affect it?,Card Services
317,What is the difference between ACH and wire transfer?,Payments & Transfers
125,How do I apply for a home equity loan?,Loans
79,How do I reset my online banking password?,Account Management
286,How do I transfer money between my accounts?,Payments & Transfers
91,How do I enable fingerprint login?,Account Management
182,What is the process for a loan modification?,Loans
74,How do I set up a recurring deposit?,Account Management
401,What is the bank's liability policy for fraud?,Fraud & Security
76,How do I schedule an appointment with a banker?,Account Management
71,Can I deposit cash at an ATM?,Account Management
387,How do I change my security questions?,Fraud & Security
409,What is biometric authentication?,Fraud & Security
326,How do I set up a standing order?,Payments & Transfers
431,How do I report a data breach?,Fraud & Security
34,What notifications can I receive for my account?,Account Management
408,How do I create a strong banking password?,Fraud & Security
312,How do I stop a payment?,Payments & Transfers
438,What is elder financial abuse?,Fraud & Security
273,How do I stop a recurring charge on my card?,Card Services
12,How do I add a joint account holder?,Account Management
396,What is the difference between a fraud alert and credit freeze?,Fraud & Security
16,How can I increase my daily withdrawal limit?,Account Management
439,How do I report suspected elder financial abuse?,Fraud & Security
353,How do I set up payroll through my business account?,Payments & Transfers
1,How do I open a new savings account?,Account Management
20,How do I download my bank statements in PDF?,Account Management
339,How do I set up payment reminders?,Payments & Transfers
298,How do I pay my bills online?,Payments & Transfers
57,How do I reactivate a dormant account?,Account Management
445,What is device registration for security?,Fraud & Security
378,How do I report a fraudulent transaction?,Fraud & Security
297,How do I modify a scheduled payment?,Payments & Transfers
385,What is two-factor authentication?,Fraud & Security
433,How do I dispute a transaction I didn't make?,Fraud & Security
383,Is this email really from the bank?,Fraud & Security
26,How can I update my email address on file?,Account Management
376,How do I verify a payment was received?,Payments & Transfers
200,How do I increase my credit card limit?,Card Services
394,How do I place a fraud alert on my credit report?,Fraud & Security
43,How do I sign up for overdraft protection?,Account Management
177,What are the current mortgage rates?,Loans
443,How do I use a security token for login?,Fraud & Security
117,What are the current auto loan rates?,Loans
420,How do I recognize a banking scam?,Fraud & Security
287,How do I set up a wire transfer?,Payments & Transfers
291,What information do I need for an international transfer?,Payments & Transfers
23,Can I open an account for my child?,Account Management
47,Can I open an account online?,Account Management
437,How do I report check fraud?,Fraud & Security
447,How do I remove a device from my account?,Fraud & Security
138,What credit score do I need for a mortgage?,Loans
94,Can I access online banking on multiple devices?,Account Management
58,What happens to a dormant account?,Account Management
426,What is the bank's data encryption standard?,Fraud & Security
25,How do I change my mailing address?,Account Management
18,Can I have multiple savings accounts?,Account Management
67,Can I deposit checks using my phone?,Account Management
370,How do I pay my mortgage online?,Payments & Transfers
251,What is the grace period on my credit card?,Card Services
32,Can I access my account from another country?,Account Management
85,Is mobile banking secure?,Account Management
432,What should I do after a data breach notification?,Fraud & Security
127,What is the difference between HELOC and home equity loan?,Loans
209,How do I redeem my credit card rewards?,Card Services
155,What is an amortization schedule?,Loans
95,How do I update the mobile banking app?,Account Management
428,What is the bank's privacy policy?,Fraud & Security
372,How do I pay my credit card bill through the app?,Payments & Transfers
212,Can I transfer my rewards to another program?,Card Services
230,How do I add my card to a digital wallet?,Card Services
377,I think someone accessed my account without permission,Fraud & Security
105,What is the maximum loan amount I can get?,Loans
194,What credit cards do you offer?,Card Services
6,Can I change my account type from savings to checking?,Account Management
46,How long does it take to open a new account?,Account Management
158,What is loan assumption?,Loans
132,How do I apply for a student loan?,Loans
389,How do I set up fraud alerts?,Fraud & Security
423,What is SIM swap fraud?,Fraud & Security
17,How do I set up automatic transfers between accounts?,Account Management
418,How do I protect myself from social engineering?,Fraud & Security
355,How do I process batch payments?,Payments & Transfers
322,What peer-to-peer payment options do you offer?,Payments & Transfers
4,What is the minimum balance for a savings account?,Account Management
19,How do I view my account statements?,Account Management
395,How do I place a credit freeze?,Fraud & Security
61,Can I get a notarized letter from the bank?,Account Management
421,What is account takeover fraud?,Fraud & Security
250,How do I file an insurance claim through my card?,Card Services
173,Why did my mortgage payment increase?,Loans
64,How do I set up a trust account?,Account Management
111,How does refinancing work?,Loans
285,How do I send money to another account?,Payments & Transfers
369,Can I make payments using my smartwatch?,Payments & Transfers
30,What are the penalties for early CD withdrawal?,Account Management
149,How do I increase my line of credit?,Loans
232,Can I use my card with Google Pay?,Card Services
27,How do I change my phone number on my account?,Account Management
8,What are the different types of accounts you offer?,Account Management
411,Is it safe to use public WiFi for banking?,Fraud & Security
109,What is a fixed-rate mortgage?,Loans
281,How do I improve my credit score?,Card Services
422,How do I prevent account takeover?,Fraud & Security
119,How do I make extra payments on my loan?,Loans
115,What is the difference between pre-qualified and pre-approved?,Loans
193,How do I apply for a credit card?,Card Services
412,How do I protect myself from ATM skimming?,Fraud & Security
334,How do I check the status of a transfer?,Payments & Transfers
393,What do I do if I suspect identity theft?,Fraud & Security
156,How do I read my amortization schedule?,Loans
174,How do I appeal a loan denial?,Loans
403,How do I check if my account has been compromised?,Fraud & Security
142,What is an FHA loan?,Loans
330,How do I cancel a direct debit?,Payments & Transfers
302,How do I send money via Zelle?,Payments & Transfers
290,How do I send an international wire transfer?,Payments & Transfers
205,How do I make a credit card payment?,Card Services
110,What is an adjustable-rate mortgage?,Loans
221,How do I do a balance transfer?,Card Services
146,What collateral is needed for a business loan?,Loans
348,How do I lock in an exchange rate?,Payments & Transfers
153,What is the loan-to-value ratio?,Loans
176,How do I get a loan for an investment property?,Loans
186,What are payday loan alternatives?,Loans
84,How do I download the mobile banking app?,Account Management
226,Does my card work internationally?,Card Services
371,How do I pay my loan installment?,Payments & Transfers
75,What are your hours of operation?,Account Management
228,Why was my card declined?,Card Services
300,Can I schedule future-dated payments?,Payments & Transfers
