id,query,category,query_clean,query_deep,category_id
299,How do I set up bill pay?,Payments & Transfers,How do I set up bill pay?,set bill pay,4
40,Can I merge two accounts into one?,Account Management,Can I merge two accounts into one?,merge two account one,0
336,How do I search for a specific transaction?,Payments & Transfers,How do I search for a specific transaction?,search specific transaction,4
399,How long does a fraud investigation take?,Fraud & Security,How long does a fraud investigation take?,long fraud investigation take,2
154,How do I request a loan payoff statement?,Loans,How do I request a loan payoff statement?,request loan payoff statement,3
196,How do I report a lost credit card?,Card Services,How do I report a lost credit card?,report lost credit card,1
169,What is the grace period for loan payments?,Loans,What is the grace period for loan payments?,grace period loan payment,3
102,How long does loan approval take?,Loans,How long does loan approval take?,long loan approval take,3
398,What happens after I report fraud?,Fraud & Security,What happens after I report fraud?,happens report fraud,2
31,How do I transfer my account to another branch?,Account Management,How do I transfer my account to another branch?,transfer account another branch,0
73,Are there fees for using out-of-network ATMs?,Account Management,Are there fees for using out-of-network ATMs?,fee using outofnetwork atm,0
272,What is a recurring charge and how do I manage it?,Card Services,What is a recurring charge and how do I manage it?,recurring charge manage,1
141,How do I remove PMI from my mortgage?,Loans,How do I remove PMI from my mortgage?,remove pmi mortgage,3
350,How do I buy foreign currency?,Payments & Transfers,How do I buy foreign currency?,buy foreign currency,4
363,What is a payment gateway?,Payments & Transfers,What is a payment gateway?,payment gateway,4
56,Why was my account frozen?,Account Management,Why was my account frozen?,account frozen,0
166,Can I change from variable to fixed rate?,Loans,Can I change from variable to fixed rate?,change variable fixed rate,3
321,How do I pay someone with my phone?,Payments & Transfers,How do I pay someone with my phone?,pay someone phone,4
288,What are the fees for wire transfers?,Payments & Transfers,What are the fees for wire transfers?,fee wire transfer,4
83,Can I manage my account through the mobile app?,Account Management,Can I manage my account through the mobile app?,manage account mobile app,0
78,What are the fees for a safe deposit box?,Account Management,What are the fees for a safe deposit box?,fee safe deposit box,0
133,What are the student loan repayment options?,Loans,What are the student loan repayment options?,student loan repayment option,3
249,What is extended warranty protection?,Card Services,What is extended warranty protection?,extended warranty protection,1
118,Can I refinance my car loan?,Loans,Can I refinance my car loan?,refinance car loan,3
204,When is my credit card payment due?,Card Services,When is my credit card payment due?,credit card payment due,1
405,How do I secure my online banking account?,Fraud & Security,How do I secure my online banking account?,secure online banking account,2
80,I forgot my online banking username,Account Management,I forgot my online banking username,forgot online banking username,0
442,What is a security token?,Fraud & Security,What is a security token?,security token,2
10,How do I link my accounts together?,Account Management,How do I link my accounts together?,link account together,0
390,What are transaction alerts?,Fraud & Security,What are transaction alerts?,transaction alert,2
379,"My debit card was stolen, what should I do?",Fraud & Security,"My debit card was stolen, what should I do?",debit card stolen,2
245,How do I freeze my credit card temporarily?,Card Services,How do I freeze my credit card temporarily?,freeze credit card temporarily,1
417,What is social engineering fraud?,Fraud & Security,What is social engineering fraud?,social engineering fraud,2
114,How do I get pre-approved for a home loan?,Loans,How do I get pre-approved for a home loan?,get preapproved home loan,3
446,How do I manage my registered devices?,Fraud & Security,How do I manage my registered devices?,manage registered device,2
77,Can I get a safe deposit box?,Account Management,Can I get a safe deposit box?,get safe deposit box,0
278,Does checking my credit score affect it?,Card Services,Does checking my credit score affect it?,checking credit score affect,1
317,What is the difference between ACH and wire transfer?,Payments & Transfers,What is the difference between ACH and wire transfer?,difference ach wire transfer,4
125,How do I apply for a home equity loan?,Loans,How do I apply for a home equity loan?,apply home equity loan,3
79,How do I reset my online banking password?,Account Management,How do I reset my online banking password?,reset online banking password,0
286,How do I transfer money between my accounts?,Payments & Transfers,How do I transfer money between my accounts?,transfer money account,4
91,How do I enable fingerprint login?,Account Management,How do I enable fingerprint login?,enable fingerprint login,0
182,What is the process for a loan modification?,Loans,What is the process for a loan modification?,process loan modification,3
74,How do I set up a recurring deposit?,Account Management,How do I set up a recurring deposit?,set recurring deposit,0
401,What is the bank's liability policy for fraud?,Fraud & Security,What is the bank's liability policy for fraud?,bank liability policy fraud,2
76,How do I schedule an appointment with a banker?,Account Management,How do I schedule an appointment with a banker?,schedule appointment banker,0
71,Can I deposit cash at an ATM?,Account Management,Can I deposit cash at an ATM?,deposit cash atm,0
387,How do I change my security questions?,Fraud & Security,How do I change my security questions?,change security question,2
409,What is biometric authentication?,Fraud & Security,What is biometric authentication?,biometric authentication,2
326,How do I set up a standing order?,Payments & Transfers,How do I set up a standing order?,set standing order,4
431,How do I report a data breach?,Fraud & Security,How do I report a data breach?,report data breach,2
34,What notifications can I receive for my account?,Account Management,What notifications can I receive for my account?,notification receive account,0
408,How do I create a strong banking password?,Fraud & Security,How do I create a strong banking password?,create strong banking password,2
312,How do I stop a payment?,Payments & Transfers,How do I stop a payment?,stop payment,4
438,What is elder financial abuse?,Fraud & Security,What is elder financial abuse?,elder financial abuse,2
273,How do I stop a recurring charge on my card?,Card Services,How do I stop a recurring charge on my card?,stop recurring charge card,1
12,How do I add a joint account holder?,Account Management,How do I add a joint account holder?,add joint account holder,0
