id,query,category,query_clean,query_deep,category_id
178,How do I lock in my mortgage rate?,Loans,How do I lock in my mortgage rate?,lock mortgage rate,3
304,Is Zelle free to use?,Payments & Transfers,Is Zelle free to use?,zelle free use,4
134,Can I consolidate my student loans?,Loans,Can I consolidate my student loans?,consolidate student loan,3
296,How do I cancel a recurring payment?,Payments & Transfers,How do I cancel a recurring payment?,cancel recurring payment,4
266,How do I change my credit card PIN?,Card Services,How do I change my credit card PIN?,change credit card pin,1
209,How do I redeem my credit card rewards?,Card Services,How do I redeem my credit card rewards?,redeem credit card reward,1
445,What is device registration for security?,Fraud & Security,What is device registration for security?,device registration security,2
312,How do I stop a payment?,Payments & Transfers,How do I stop a payment?,stop payment,4
331,What happens if a payment fails?,Payments & Transfers,What happens if a payment fails?,happens payment fails,4
349,What are the foreign exchange fees?,Payments & Transfers,What are the foreign exchange fees?,foreign exchange fee,4
96,What features are available in the mobile app?,Account Management,What features are available in the mobile app?,feature available mobile app,0
176,How do I get a loan for an investment property?,Loans,How do I get a loan for an investment property?,get loan investment property,3
133,What are the student loan repayment options?,Loans,What are the student loan repayment options?,student loan repayment option,3
252,How do I avoid paying interest on my credit card?,Card Services,How do I avoid paying interest on my credit card?,avoid paying interest credit card,1
153,What is the loan-to-value ratio?,Loans,What is the loan-to-value ratio?,loantovalue ratio,3
214,I see an unauthorized charge on my card,Card Services,I see an unauthorized charge on my card,see unauthorized charge card,1
356,What is real-time payment?,Payments & Transfers,What is real-time payment?,realtime payment,4
222,What are the balance transfer fees?,Card Services,What are the balance transfer fees?,balance transfer fee,1
104,How do I check my loan application status?,Loans,How do I check my loan application status?,check loan application status,3
5,How do I update my contact information?,Account Management,How do I update my contact information?,update contact information,0
210,What is my current rewards balance?,Card Services,What is my current rewards balance?,current reward balance,1
45,What happens if my account goes negative?,Account Management,What happens if my account goes negative?,happens account go negative,0
354,What is a batch payment?,Payments & Transfers,What is a batch payment?,batch payment,4
286,How do I transfer money between my accounts?,Payments & Transfers,How do I transfer money between my accounts?,transfer money account,4
48,Do you offer student bank accounts?,Account Management,Do you offer student bank accounts?,offer student bank account,0
49,What benefits come with a premium account?,Account Management,What benefits come with a premium account?,benefit come premium account,0
118,Can I refinance my car loan?,Loans,Can I refinance my car loan?,refinance car loan,3
385,What is two-factor authentication?,Fraud & Security,What is two-factor authentication?,twofactor authentication,2
399,How long does a fraud investigation take?,Fraud & Security,How long does a fraud investigation take?,long fraud investigation take,2
220,What is a balance transfer?,Card Services,What is a balance transfer?,balance transfer,1
163,How does a secured loan differ from unsecured?,Loans,How does a secured loan differ from unsecured?,secured loan differ unsecured,3
129,What are the tax benefits of a home loan?,Loans,What are the tax benefits of a home loan?,tax benefit home loan,3
382,How do I report a phishing text message?,Fraud & Security,How do I report a phishing text message?,report phishing text message,2
160,What are the risks of a second mortgage?,Loans,What are the risks of a second mortgage?,risk second mortgage,3
269,How do I report a damaged card?,Card Services,How do I report a damaged card?,report damaged card,1
12,How do I add a joint account holder?,Account Management,How do I add a joint account holder?,add joint account holder,0
313,Can I reverse a bank transfer?,Payments & Transfers,Can I reverse a bank transfer?,reverse bank transfer,4
225,What is the foreign transaction fee on my card?,Card Services,What is the foreign transaction fee on my card?,foreign transaction fee card,1
